2026-02-09 05:04:45,382 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:04:45,476 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:04:46,229 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:04:47,923 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:04:48,532 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:05:45,382 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:05:45,476 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:05:46,230 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:05:47,924 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:05:48,533 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:06:45,383 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:06:45,477 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:06:46,230 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:06:47,925 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:06:48,533 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:07:45,384 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:07:45,478 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:07:46,232 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:07:47,926 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:07:48,536 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:08:45,386 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
